
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [REDACTED-IP]:135            [REDACTED-IP]:0              LISTENING       2072
  TCP    [REDACTED-IP]:445            [REDACTED-IP]:0              LISTENING       4
  TCP    [REDACTED-IP]:5040           [REDACTED-IP]:0              LISTENING       9516
  TCP    [REDACTED-IP]:7680           [REDACTED-IP]:0              LISTENING       4976
  TCP    [REDACTED-IP]:49664          [REDACTED-IP]:0              LISTENING       1908
  TCP    [REDACTED-IP]:49665          [REDACTED-IP]:0              LISTENING       1724
  TCP    [REDACTED-IP]:49668          [REDACTED-IP]:0              LISTENING       2720
  TCP    [REDACTED-IP]:49669          [REDACTED-IP]:0              LISTENING       3996
  TCP    [REDACTED-IP]:49670          [REDACTED-IP]:0              LISTENING       5332
  TCP    [REDACTED-IP]:49674          [REDACTED-IP]:0              LISTENING       5860
  TCP    [REDACTED-IP]:49675          [REDACTED-IP]:0              LISTENING       1856
  TCP    [REDACTED-IP]:11434        [REDACTED-IP]:0              LISTENING       25624
  TCP    [REDACTED-IP]:49674        [REDACTED-IP]:60940        ESTABLISHED     5860
  TCP    [REDACTED-IP]:49694        [REDACTED-IP]:49695        ESTABLISHED     1352
  TCP    [REDACTED-IP]:49695        [REDACTED-IP]:49694        ESTABLISHED     1352
  TCP    [REDACTED-IP]:49696        [REDACTED-IP]:49697        ESTABLISHED     2172
  TCP    [REDACTED-IP]:49697        [REDACTED-IP]:49696        ESTABLISHED     2172
  TCP    [REDACTED-IP]:49706        [REDACTED-IP]:49707        ESTABLISHED     6544
  TCP    [REDACTED-IP]:49707        [REDACTED-IP]:49706        ESTABLISHED     6544
  TCP    [REDACTED-IP]:56235        [REDACTED-IP]:0              LISTENING       10948
  TCP    [REDACTED-IP]:60940        [REDACTED-IP]:49674        ESTABLISHED     4604
  TCP    [REDACTED-IP]:62411        [REDACTED-IP]:62412        ESTABLISHED     26288
  TCP    [REDACTED-IP]:62412        [REDACTED-IP]:62411        ESTABLISHED     26288
  TCP    [REDACTED-IP]:139        [REDACTED-IP]:0              LISTENING       4
  TCP    [REDACTED-IP]:139     [REDACTED-IP]:0              LISTENING       4
  TCP    [REDACTED-IP]:50177   [REDACTED-IP]:53        TIME_WAIT       0
  TCP    [REDACTED-IP]:50560   [REDACTED-IP]:53        TIME_WAIT       0
  TCP    [REDACTED-IP]:50623   [REDACTED-IP]:53        TIME_WAIT       0
  TCP    [REDACTED-IP]:50871   [REDACTED-IP]:443      ESTABLISHED     18912
  TCP    [REDACTED-IP]:51309   [REDACTED-IP]:53        TIME_WAIT       0
  TCP    [REDACTED-IP]:51314   [REDACTED-IP]:443       ESTABLISHED     21516
