
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,408 K
Secure System                  332 Services                   0    112,876 K
Registry                       376 Services                   0     51,040 K
smss.exe                       988 Services                   0        840 K
csrss.exe                     1636 Services                   0      4,888 K
wininit.exe                   1724 Services                   0      5,608 K
services.exe                  1856 Services                   0     15,212 K
LsaIso.exe                    1900 Services                   0      3,528 K
lsass.exe                     1908 Services                   0     32,952 K
svchost.exe                   1200 Services                   0     36,788 K
fontdrvhost.exe                976 Services                   0      2,396 K
WUDFHost.exe                  1352 Services                   0     14,720 K
svchost.exe                   2072 Services                   0     17,688 K
svchost.exe                   2116 Services                   0     11,724 K
WUDFHost.exe                  2172 Services                   0     10,500 K
svchost.exe                   2396 Services                   0      4,248 K
svchost.exe                   2412 Services                   0     27,216 K
svchost.exe                   2448 Services                   0     10,872 K
svchost.exe                   2476 Services                   0     16,692 K
svchost.exe                   2484 Services                   0     17,436 K
svchost.exe                   2684 Services                   0      5,304 K
svchost.exe                   2720 Services                   0     13,276 K
svchost.exe                   2736 Services                   0      6,808 K
svchost.exe                   2756 Services                   0      9,612 K
svchost.exe                   2764 Services                   0     10,512 K
svchost.exe                   2796 Services                   0      9,260 K
svchost.exe                   2936 Services                   0      8,924 K
svchost.exe                   2964 Services                   0     18,136 K
svchost.exe                   2980 Services                   0      4,984 K
svchost.exe                   2616 Services                   0      9,616 K
svchost.exe                   3168 Services                   0     17,176 K
svchost.exe                   3476 Services                   0     10,384 K
svchost.exe                   3608 Services                   0     10,256 K
svchost.exe                   3688 Services                   0     31,292 K
svchost.exe                   3768 Services                   0      7,068 K
svchost.exe                   3924 Services                   0      9,648 K
svchost.exe                   3936 Services                   0      7,208 K
svchost.exe                   3996 Services                   0     38,216 K
svchost.exe                   4084 Services                   0     21,328 K
svchost.exe                   3060 Services                   0      4,592 K
svchost.exe                   3204 Services                   0     18,712 K
svchost.exe                   3184 Services                   0      6,280 K
svchost.exe                   4148 Services                   0      5,404 K
Memory Compression            4188 Services                   0     30,872 K
svchost.exe                   4232 Services                   0      7,112 K
svchost.exe                   4284 Services                   0      8,684 K
svchost.exe                   4292 Services                   0      9,960 K
svchost.exe                   4356 Services                   0     20,656 K
svchost.exe                   4436 Services                   0     56,888 K
svchost.exe                   4484 Services                   0      6,904 K
svchost.exe                   4564 Services                   0      6,000 K
svchost.exe                   4572 Services                   0      9,076 K
svchost.exe                   4772 Services                   0      5,316 K
svchost.exe                   4860 Services                   0     16,364 K
svchost.exe                   4904 Services                   0      5,528 K
svchost.exe                   4968 Services                   0      8,876 K
svchost.exe                   4976 Services                   0     28,824 K
svchost.exe                   4984 Services                   0     14,448 K
spoolsv.exe                   5332 Services                   0     24,644 K
svchost.exe                   5516 Services                   0      6,656 K
svchost.exe                   5672 Services                   0     50,280 K
SpitCamSrv.exe                5692 Services                   0      5,640 K
ElevocControlService.exe      5700 Services                   0      6,228 K
svchost.exe                   5708 Services                   0     44,440 K
IntelAudioService.exe         5720 Services                   0     21,732 K
NahimicService.exe            5728 Services                   0     14,004 K
svchost.exe                   5740 Services                   0     25,032 K
svchost.exe                   5748 Services                   0      4,152 K
LenovoUtilityService.exe      5756 Services                   0     14,220 K
svchost.exe                   5792 Services                   0     18,924 K
jhi_service.exe               5812 Services                   0      4,988 K
ijplmsvc.exe                  5820 Services                   0      6,388 K
RtkAudUService64.exe          5828 Services                   0     10,640 K
GameManagerService3.exe       5860 Services                   0    116,004 K
Tobii.Service.exe             5880 Services                   0     22,528 K
wslservice.exe                5888 Services                   0     21,112 K
MpDefenderCoreService.exe     5896 Services                   0     18,116 K
WMIRegistrationService.ex     5908 Services                   0      9,180 K
MsMpEng.exe                   5924 Services                   0    367,972 K
ipfsvc.exe                    6544 Services                   0      5,316 K
ipf_uf.exe                    6552 Services                   0      5,888 K
svchost.exe                   6724 Services                   0      8,200 K
WmiPrvSE.exe                  7600 Services                   0     36,820 K
WmiPrvSE.exe                  7612 Services                   0     14,992 K
svchost.exe                   8900 Services                   0     21,252 K
